,Unnamed: 0,precision_wn,recall_wn,precision_cn,recall_cn
614,614,1.0,0.5,1.0,1.0
615,615,1.0,1.0,1.0,1.0
616,616,1.0,1.0,1.0,1.0
617,617,1.0,1.0,1.0,1.0
618,618,1.0,0.07692307692307693,1.0,1.0
619,619,0.5,0.375,0.5,1.0
620,620,1.0,1.0,1.0,1.0
621,621,1.0,0.3333333333333333,1.0,1.0
622,622,0.5,0.4166666666666666,0.5,1.0
623,623,1.0,0.25,1.0,1.0
624,624,1.0,0.5,1.0,1.0
625,625,1.0,1.0,1.0,1.0
626,626,0.5,1.0,0.5,1.0
627,627,1.0,0.25,1.0,1.0
628,628,1.0,1.0,1.0,1.0
629,629,1.0,1.0,1.0,1.0
630,630,1.0,0.09090909090909093,1.0,1.0
631,631,1.0,1.0,1.0,1.0
632,632,0.5,0.15,0.5,1.0
633,633,1.0,0.5,1.0,1.0
634,634,0.5,1.0,0.5,1.0
635,635,1.0,1.0,1.0,1.0
636,636,1.0,0.1,1.0,1.0
637,637,1.0,0.5,1.0,1.0
638,638,1.0,1.0,1.0,1.0
639,639,1.0,1.0,1.0,1.0
640,640,1.0,1.0,1.0,1.0
641,641,0.5,1.0,0.5,1.0
642,642,1.0,1.0,1.0,1.0
643,643,1.0,1.0,1.0,1.0
644,644,1.0,0.2,1.0,1.0
645,645,1.0,1.0,1.0,1.0
646,646,1.0,1.0,1.0,1.0
647,647,1.0,0.5,1.0,1.0
648,648,0.5,1.0,0.5,1.0
649,649,1.0,1.0,1.0,1.0
650,650,1.0,1.0,1.0,1.0
651,651,1.0,0.5,1.0,1.0
652,652,0.5,1.0,0.5,1.0
653,653,1.0,1.0,1.0,1.0
654,654,1.0,1.0,1.0,1.0
655,655,1.0,1.0,1.0,1.0
656,656,1.0,1.0,1.0,1.0
657,657,1.0,1.0,1.0,1.0
658,658,1.0,0.2,1.0,1.0
659,659,1.0,0.09090909090909093,1.0,1.0
660,660,1.0,0.125,1.0,1.0
661,661,1.0,1.0,1.0,1.0
662,662,1.0,1.0,1.0,1.0
663,663,1.0,1.0,1.0,1.0
664,664,1.0,0.5,1.0,1.0
665,665,1.0,1.0,1.0,1.0
666,666,1.0,1.0,1.0,1.0
667,667,1.0,1.0,1.0,1.0
668,668,1.0,1.0,1.0,1.0
669,669,1.0,1.0,1.0,1.0
670,670,1.0,0.14285714285714285,1.0,1.0
671,671,1.0,0.3333333333333333,1.0,1.0
672,672,1.0,0.045454545454545456,1.0,1.0
673,673,1.0,1.0,1.0,1.0
674,674,1.0,0.09090909090909093,1.0,1.0
675,675,1.0,0.07142857142857142,1.0,1.0
676,676,1.0,1.0,1.0,1.0
677,677,1.0,1.0,1.0,1.0
678,678,1.0,0.07692307692307693,1.0,1.0
679,679,1.0,1.0,1.0,1.0
680,680,1.0,1.0,1.0,1.0
681,681,1.0,1.0,1.0,1.0
682,682,1.0,0.5,1.0,1.0
683,683,0.5,0.26666666666666666,0.5,1.0
684,684,1.0,0.3333333333333333,1.0,1.0
685,685,1.0,1.0,1.0,1.0
686,686,1.0,1.0,1.0,1.0
687,687,1.0,1.0,1.0,1.0
688,688,1.0,0.25,1.0,1.0
689,689,1.0,1.0,1.0,1.0
690,690,1.0,0.5,1.0,1.0
691,691,1.0,1.0,1.0,1.0
692,692,1.0,1.0,1.0,1.0
693,693,1.0,1.0,1.0,1.0
694,694,0.5,1.0,0.5,1.0
695,695,1.0,0.16666666666666666,1.0,1.0
696,696,1.0,0.5,1.0,1.0
697,697,1.0,1.0,1.0,1.0
698,698,1.0,0.2,1.0,1.0
699,699,0.5,0.26666666666666666,0.5,1.0
700,700,1.0,1.0,1.0,1.0
701,701,1.0,0.3333333333333333,1.0,1.0
702,702,1.0,1.0,1.0,1.0
703,703,1.0,1.0,1.0,1.0
704,704,1.0,1.0,1.0,1.0
705,705,1.0,0.07142857142857142,1.0,1.0
706,706,1.0,1.0,1.0,1.0
707,707,1.0,0.25,1.0,1.0
708,708,1.0,1.0,1.0,1.0
709,709,1.0,1.0,1.0,1.0
710,710,1.0,0.125,1.0,1.0
711,711,1.0,1.0,1.0,1.0
712,712,1.0,1.0,1.0,1.0
713,713,1.0,1.0,1.0,1.0
714,714,1.0,1.0,1.0,1.0
715,715,1.0,1.0,1.0,1.0
716,716,1.0,0.3333333333333333,1.0,1.0
717,717,0.3333333333333333,1.0,0.3333333333333333,1.0
718,718,0.5,0.75,0.5,1.0
719,719,1.0,1.0,1.0,1.0
720,720,1.0,1.0,1.0,1.0
721,721,1.0,0.047619047619047616,1.0,1.0
722,722,1.0,0.2,1.0,1.0
723,723,1.0,1.0,1.0,1.0
724,724,1.0,1.0,1.0,1.0
725,725,1.0,1.0,1.0,1.0
726,726,1.0,1.0,1.0,1.0
727,727,1.0,1.0,1.0,1.0
728,728,1.0,0.25,1.0,1.0
729,729,1.0,0.08333333333333333,1.0,1.0
730,730,1.0,0.2,1.0,1.0
731,731,0.5,0.06926406926406926,0.5,1.0
732,732,1.0,0.16666666666666666,1.0,1.0
733,733,0.5,0.2,0.5,1.0
734,734,1.0,0.06666666666666668,1.0,1.0
735,735,1.0,1.0,1.0,1.0
736,736,1.0,0.5,1.0,1.0
737,737,1.0,1.0,1.0,1.0
738,738,1.0,1.0,1.0,1.0
739,739,1.0,0.030303030303030307,1.0,1.0
740,740,1.0,0.5,1.0,1.0
741,741,1.0,1.0,1.0,1.0
742,742,1.0,0.5,1.0,1.0
743,743,1.0,0.3333333333333333,1.0,1.0
744,744,1.0,1.0,1.0,1.0
745,745,1.0,1.0,1.0,1.0
746,746,0.5,1.0,0.5,1.0
747,747,1.0,1.0,1.0,1.0
748,748,1.0,0.09090909090909093,1.0,1.0
749,749,1.0,1.0,1.0,1.0
750,750,1.0,1.0,1.0,1.0
751,751,1.0,1.0,1.0,1.0
752,752,1.0,0.125,1.0,1.0
753,753,1.0,1.0,1.0,1.0
754,754,1.0,0.16666666666666666,1.0,1.0
755,755,1.0,1.0,1.0,1.0
756,756,1.0,0.25,1.0,1.0
757,757,1.0,1.0,1.0,1.0
758,758,0.5,1.0,0.5,1.0
759,759,1.0,0.5,1.0,1.0
760,760,1.0,0.06666666666666668,1.0,1.0
761,761,1.0,0.09090909090909093,1.0,1.0
762,762,1.0,1.0,1.0,1.0
763,763,1.0,1.0,1.0,1.0
764,764,1.0,1.0,1.0,1.0
765,765,1.0,0.5,1.0,1.0
766,766,1.0,1.0,1.0,1.0
767,767,1.0,0.25,1.0,1.0
