cluster	precision	recall
108	1.0	0.0625
109	1.0	0.02040816326530612
110	1.0	0.020833333333333332
111	1.0	0.00423728813559322
112	1.0	1.0
113	1.0	1.0
114	1.0	0.034482758620689655
115	1.0	0.013888888888888888
116	1.0	1.0
117	1.0	0.07692307692307693
118	1.0	0.008620689655172414
119	1.0	0.003787878787878788
120	1.0	0.1111111111111111
121	1.0	0.5
122	1.0	1.0
123	1.0	0.1
124	1.0	0.5
125	1.0	0.02631578947368421
126	1.0	0.016666666666666666
127	1.0	0.5
128	1.0	0.03571428571428571
129	1.0	1.0
130	1.0	0.25
131	1.0	1.0
132	1.0	0.2
133	1.0	0.011363636363636364
134	1.0	0.16666666666666666
135	1.0	0.2
136	1.0	0.017241379310344827
137	1.0	1.0
138	1.0	0.041666666666666664
139	1.0	0.002770083102493075
140	1.0	0.041666666666666664
141	1.0	1.0
142	1.0	0.008547008547008548
143	1.0	0.1
144	1.0	0.2
145	1.0	1.0
146	1.0	1.0
147	1.0	0.003816793893129771
148	1.0	1.0
149	1.0	0.2
150	1.0	0.00423728813559322
151	1.0	0.011363636363636364
152	1.0	0.006993006993006993
153	1.0	0.045454545454545456
154	1.0	0.5
155	1.0	0.25
156	1.0	0.022727272727272728
157	1.0	1.0
158	1.0	0.3333333333333333
159	1.0	1.0
160	1.0	1.0
161	1.0	0.25
162	1.0	1.0
163	1.0	0.006211180124223602
164	1.0	0.0625
165	1.0	1.0
166	1.0	1.0
167	1.0	0.009523809523809525
168	1.0	0.0625
169	1.0	1.0
170	1.0	0.07142857142857142
171	1.0	0.021739130434782608
172	1.0	1.0
173	1.0	0.25
174	1.0	0.014285714285714285
175	1.0	0.02
176	1.0	0.04
177	1.0	0.07692307692307693
178	1.0	1.0
179	1.0	1.0
180	1.0	1.0
181	1.0	0.00558659217877095
182	1.0	1.0
183	1.0	0.3333333333333333
184	1.0	1.0
185	1.0	1.0
186	1.0	1.0
187	1.0	0.04
188	1.0	0.005494505494505495
189	1.0	1.0
190	1.0	0.007042253521126761
191	1.0	0.25
192	1.0	0.0024875621890547263
193	1.0	0.041666666666666664
194	1.0	0.045454545454545456
195	1.0	0.012658227848101266
196	1.0	0.005988023952095809
197	1.0	0.022222222222222223
198	1.0	0.006172839506172839
199	1.0	0.03571428571428571
200	1.0	0.006329113924050633
201	1.0	1.0
202	1.0	0.2
203	1.0	0.3333333333333333
204	1.0	0.16666666666666666
205	1.0	0.007042253521126761
206	1.0	0.007246376811594203
207	1.0	0.009615384615384616
208	1.0	0.0064516129032258064
209	1.0	0.017857142857142856
210	1.0	0.5
211	1.0	0.14285714285714285
212	1.0	0.011235955056179775
213	1.0	0.07692307692307693
214	1.0	0.008333333333333333
215	1.0	0.019230769230769232
216	1.0	1.0
217	1.0	0.027777777777777776
218	1.0	0.047619047619047616
219	1.0	0.047619047619047616
220	1.0	0.014705882352941176
221	1.0	0.03125
222	1.0	0.043478260869565216
223	1.0	1.0
