cluster	precision	recall
329	1.0	0.5
330	nan	nan
331	1.0	1.0
332	1.0	0.02857142857142857
333	1.0	0.16666666666666666
334	1.0	0.3333333333333333
335	1.0	0.2
336	1.0	1.0
337	1.0	0.07142857142857142
338	1.0	0.5
339	1.0	0.125
340	1.0	0.07692307692307693
341	1.0	0.5
342	1.0	0.047619047619047616
343	1.0	0.041666666666666664
344	1.0	0.0625
345	nan	nan
346	1.0	0.07692307692307693
347	1.0	0.125
348	1.0	0.25
349	nan	nan
350	1.0	0.125
351	1.0	0.027777777777777776
352	1.0	0.5
353	1.0	0.25
354	1.0	0.125
355	1.0	0.08333333333333333
356	1.0	0.2
357	1.0	0.5
358	1.0	0.3333333333333333
359	1.0	0.5
360	1.0	0.5
361	1.0	0.1111111111111111
362	1.0	1.0
363	1.0	0.09090909090909091
364	1.0	0.2
365	1.0	0.058823529411764705
366	1.0	0.3333333333333333
367	nan	nan
368	nan	nan
369	1.0	0.037037037037037035
370	1.0	0.5
371	1.0	0.2
372	1.0	0.2
373	1.0	0.05
374	nan	nan
375	1.0	0.014084507042253521
376	1.0	0.06666666666666667
377	1.0	0.25
378	1.0	0.08333333333333333
379	1.0	0.25
380	1.0	0.034482758620689655
381	1.0	1.0
382	1.0	0.034482758620689655
383	1.0	1.0
384	1.0	0.125
385	1.0	0.25
386	1.0	0.5
387	1.0	0.25
388	1.0	0.16666666666666666
389	1.0	0.2
390	1.0	0.16666666666666666
391	1.0	0.14285714285714285
392	1.0	0.3333333333333333
393	1.0	0.07142857142857142
394	1.0	0.5
395	1.0	0.05263157894736842
396	1.0	0.1111111111111111
397	1.0	0.14285714285714285
398	1.0	0.06666666666666667
399	1.0	0.3333333333333333
400	1.0	0.3333333333333333
401	1.0	0.25
402	1.0	0.1
403	1.0	0.06666666666666667
404	1.0	0.045454545454545456
405	nan	nan
406	1.0	0.3333333333333333
407	1.0	0.07692307692307693
408	1.0	0.05555555555555555
409	1.0	0.5
410	1.0	1.0
411	1.0	0.14285714285714285
412	1.0	1.0
413	nan	nan
414	1.0	0.5
415	1.0	0.5
416	1.0	0.14285714285714285
417	1.0	0.1111111111111111
418	1.0	0.5
419	nan	nan
420	1.0	0.125
421	1.0	0.034482758620689655
422	1.0	0.08333333333333333
423	1.0	0.5
424	nan	nan
425	1.0	0.1111111111111111
426	1.0	0.5
427	1.0	0.5
428	1.0	0.16666666666666666
429	1.0	0.09090909090909091
430	1.0	0.16666666666666666
431	1.0	0.3333333333333333
432	1.0	0.07692307692307693
433	1.0	0.125
434	1.0	0.3333333333333333
435	nan	nan
436	1.0	0.07142857142857142
437	1.0	0.07692307692307693
438	1.0	0.09090909090909091
439	1.0	0.16666666666666666
440	1.0	0.14285714285714285
441	nan	nan
442	1.0	1.0
443	nan	nan
444	1.0	0.041666666666666664
445	1.0	0.024390243902439025
446	1.0	0.013888888888888888
447	1.0	0.06666666666666667
448	1.0	0.045454545454545456
449	1.0	0.1
450	1.0	0.09090909090909091
451	1.0	1.0
452	1.0	0.07692307692307693
453	1.0	0.5
454	1.0	0.25
455	1.0	0.125
456	1.0	0.029411764705882353
457	1.0	0.08333333333333333
458	nan	nan
459	1.0	0.25
460	1.0	0.038461538461538464
461	1.0	0.16666666666666666
462	1.0	0.5
463	1.0	0.09090909090909091
464	1.0	0.3333333333333333
465	1.0	0.14285714285714285
466	1.0	0.1
467	1.0	0.016666666666666666
468	1.0	0.5
469	1.0	0.2
470	1.0	0.3333333333333333
471	nan	nan
472	1.0	0.125
473	1.0	0.2
474	1.0	0.3333333333333333
475	1.0	0.06666666666666667
476	1.0	0.1111111111111111
477	1.0	0.08333333333333333
478	1.0	0.2
479	1.0	0.3333333333333333
480	1.0	0.03333333333333333
481	1.0	0.3333333333333333
482	nan	nan
483	1.0	0.3333333333333333
484	1.0	0.2
485	1.0	0.1
486	1.0	0.07692307692307693
487	1.0	0.25
488	1.0	0.14285714285714285
489	1.0	0.058823529411764705
490	nan	nan
491	1.0	0.1
492	1.0	0.16666666666666666
493	1.0	0.25
494	1.0	0.03225806451612903
495	nan	nan
496	1.0	0.3333333333333333
497	1.0	0.125
498	1.0	0.1
499	1.0	0.16666666666666666
500	1.0	0.25
501	1.0	0.125
502	1.0	0.07692307692307693
503	1.0	0.3333333333333333
504	nan	nan
505	1.0	0.16666666666666666
506	1.0	0.030303030303030304
507	1.0	0.02702702702702703
508	1.0	0.05263157894736842
509	1.0	0.2
510	1.0	0.5
511	1.0	0.08333333333333333
512	1.0	0.16666666666666666
513	1.0	0.25
514	1.0	0.3333333333333333
515	1.0	0.08333333333333333
516	1.0	0.3333333333333333
517	1.0	0.08333333333333333
518	1.0	0.14285714285714285
519	1.0	0.25
520	1.0	0.07142857142857142
