,precision_wn,recall_wn,precision_cn,recall_cn
gangs,0.1111111111111111,0.1,0.1111111111111111,0.5
murderers,0.1111111111111111,0.25,0.1111111111111111,0.5
witnesses,0.2222222222222222,0.15384615384615385,0.2222222222222222,0.5
witness,0.1111111111111111,0.08333333333333333,0.2222222222222222,0.024390243902439025
tragedies,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.5
crossroads,1.0,0.1111111111111111,1.0,0.07692307692307693
feudal,0.16666666666666666,0.5,0.16666666666666666,0.012658227848101266
damnation,0.16666666666666666,0.5,0.16666666666666666,0.06666666666666667
outpost,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.04
initiation,0.16666666666666666,0.07142857142857142,0.16666666666666666,0.02127659574468085
sacrilege,0.16666666666666666,0.25,0.16666666666666666,0.1
sovereign,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.0125
thankfulness,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
boldness,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.037037037037037035
haughty,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.02040816326530612
righteousness,0.16666666666666666,1.0,0.16666666666666666,0.06666666666666667
abundance,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.011494252873563218
salvation,0.16666666666666666,0.5,0.16666666666666666,0.01282051282051282
forefinger,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111
guiding,0.3333333333333333,0.047619047619047616,0.3333333333333333,0.09090909090909091
drummers,0.3333333333333333,0.5,0.3333333333333333,0.5
handfuls,0.3333333333333333,0.25,0.3333333333333333,0.5
savoring,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.5
amazement,0.3333333333333333,0.5,0.3333333333333333,0.020833333333333332
moralistic,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285
swingy,0.3333333333333333,0.25,0.3333333333333333,0.25
glamor,0.3333333333333333,0.5,0.3333333333333333,0.5
sweaty,0.5,1.0,0.5,0.07142857142857142
sloppy,0.5,0.05555555555555555,0.5,0.03225806451612903
rostrum,0.3333333333333333,0.125,0.3333333333333333,0.03333333333333333
searchlight,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285
spire,0.3333333333333333,0.5,0.3333333333333333,0.021739130434782608
blinked,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.5
coughed,0.16666666666666666,0.5,0.16666666666666666,0.5
snorted,0.16666666666666666,0.25,0.16666666666666666,0.5
kindled,0.16666666666666666,0.07692307692307693,0.16666666666666666,0.3333333333333333
breathed,0.3333333333333333,0.18181818181818182,0.16666666666666666,0.16666666666666666
emit,0.16666666666666666,0.125,0.16666666666666666,0.013513513513513514
herding,0.25,0.3333333333333333,0.25,0.125
breeding,0.25,0.05,0.25,0.0196078431372549
exorcise,0.25,0.5,0.25,0.058823529411764705
headless,0.25,0.5,0.25,0.0625
uniforms,0.5,0.5,0.5,0.3333333333333333
ducks,0.5,0.06666666666666667,0.5,0.07692307692307693
sword,0.07692307692307693,0.25,0.15384615384615385,0.010638297872340425
powers,0.07692307692307693,0.045454545454545456,0.07692307692307693,0.06666666666666667
guards,0.15384615384615385,0.16666666666666666,0.15384615384615385,0.2
slave,0.07692307692307693,0.16666666666666666,0.07692307692307693,0.008264462809917356
ruler,0.07692307692307693,0.3333333333333333,0.07692307692307693,0.00684931506849315
rifle,0.07692307692307693,0.1,0.15384615384615385,0.022222222222222223
duty,0.07692307692307693,0.25,0.15384615384615385,0.011428571428571429
weapon,0.07692307692307693,0.25,0.38461538461538464,0.020080321285140562
tactic,0.07692307692307693,0.25,0.07692307692307693,0.023809523809523808
weapons,0.15384615384615385,0.4,0.15384615384615385,0.16666666666666666
protection,0.07692307692307693,0.1111111111111111,0.15384615384615385,0.01098901098901099
command,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.005952380952380952
guard,0.07692307692307693,0.09090909090909091,0.38461538461538464,0.022123893805309734
however,0.05,0.1111111111111111,0.05,0.05263157894736842
latter,0.05,1.0,0.1,0.06451612903225806
proved,0.05,0.05,0.05,0.09090909090909091
anywhere,0.05,0.5,0.05,0.04
normally,0.05,0.2,0.05,0.03125
thus,0.1,0.2222222222222222,0.1,0.15384615384615385
differently,0.1,0.6666666666666666,0.05,0.08333333333333333
perhaps,0.05,0.16666666666666666,0.05,0.030303030303030304
properly,0.05,0.14285714285714285,0.05,0.037037037037037035
proves,0.05,0.047619047619047616,0.05,0.3333333333333333
afterwards,0.05,0.16666666666666666,0.1,0.13333333333333333
otherwise,0.1,0.6666666666666666,0.05,0.04
elsewhere,0.05,1.0,0.05,0.0625
ought,0.05,1.0,0.05,0.029411764705882353
necessary,0.05,0.2,0.05,0.01
therefore,0.1,0.3333333333333333,0.1,0.09090909090909091
behave,0.05,0.1111111111111111,0.05,0.015873015873015872
unlike,0.05,0.3333333333333333,0.05,0.04
precisely,0.05,0.14285714285714285,0.05,0.045454545454545456
anyhow,0.05,0.16666666666666666,0.05,0.0625
sultans,0.5,0.3333333333333333,0.5,0.5
etcetera,0.5,0.25,0.5,1.0
aisle,0.07142857142857142,0.5,0.14285714285714285,0.04878048780487805
litter,0.07142857142857142,0.3333333333333333,0.07142857142857142,0.014084507042253521
watering,0.07142857142857142,0.16666666666666666,0.07142857142857142,0.08333333333333333
container,0.07142857142857142,1.0,0.07142857142857142,0.0049261083743842365
soundproof,0.07142857142857142,1.0,0.07142857142857142,0.1
drawer,0.07142857142857142,0.5,0.07142857142857142,0.02127659574468085
cupboards,0.14285714285714285,0.6666666666666666,0.14285714285714285,0.6666666666666666
shelves,0.07142857142857142,0.07692307692307693,0.21428571428571427,0.23076923076923078
pantry,0.07142857142857142,0.3333333333333333,0.07142857142857142,0.043478260869565216
stalls,0.14285714285714285,0.10526315789473684,0.14285714285714285,0.6666666666666666
stall,0.07142857142857142,0.0625,0.14285714285714285,0.02564102564102564
attic,0.07142857142857142,0.08333333333333333,0.07142857142857142,0.025
cupboard,0.07142857142857142,0.5,0.21428571428571427,0.058823529411764705
bedside,0.07142857142857142,1.0,0.07142857142857142,0.1
etiquette,0.3333333333333333,1.0,0.3333333333333333,0.022222222222222223
instruction,0.3333333333333333,0.1,0.3333333333333333,0.009615384615384616
devotion,0.3333333333333333,0.2,0.3333333333333333,0.017241379310344827
lend,0.125,0.14285714285714285,0.125,0.025
