,precision_wn,recall_wn,precision_cn,recall_cn
210,0.16666666666666666,0.13755596255596256,0.16666666666666666,0.035277161316323115
211,0.07958477508650519,0.1321378147844183,0.2595155709342561,0.05006074656168735
212,0.16666666666666666,0.43833943833943834,0.16666666666666666,0.09814191386937289
213,0.1,0.24761904761904763,0.1,0.19192640692640692
214,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.014356170445678882
215,0.09467455621301774,0.22574925074925073,0.44378698224852076,0.09145461209571079
216,0.25,0.3327228327228327,0.375,0.11953153511827742
217,0.2,0.12976190476190474,0.2,0.08307983682983683
218,0.2,0.7153846153846153,0.2,0.094655248133509
219,0.125,0.6668612054329371,0.1875,0.04335692072504998
220,0.25,0.3505050505050505,0.375,0.007336669011704881
221,0.09090909090909091,0.13712966491041356,0.15702479338842973,0.029109880478887618
222,0.10416666666666667,0.17403646170093537,0.13888888888888887,0.023868625787535253
223,0.25,0.07586081681476418,0.25,0.2791666666666667
224,0.25,0.8,0.25,0.08063186813186814
225,0.03790087463556851,0.31968646693886793,0.05206164098292378,0.07163296497183337
226,0.06666666666666667,0.4918742368742369,0.06666666666666667,0.04135601958698621
227,0.3333333333333333,0.05675954592363261,0.3333333333333333,0.03629979507172489
228,0.11000000000000001,0.2193107769423559,0.12000000000000002,0.05010928796412667
229,0.07555555555555556,0.28536341436341434,0.27111111111111114,0.033945450134324144
230,0.09090909090909091,0.127014652014652,0.09090909090909091,0.20828690573272618
231,0.09090909090909091,0.28130411255411253,0.23966942148760326,0.014068249409149651
232,0.027613412228796836,0.21188210894468867,0.07955292570677186,0.04134368982407081
233,0.3333333333333333,0.12278244631185808,0.3333333333333333,0.01579828776835054
234,0.16666666666666666,0.19404761904761902,0.16666666666666666,0.15993619670090256
235,0.125,0.059926872233373785,0.15625,0.17336207751015958
236,1.0,0.2,1.0,0.06666666666666667
237,0.1111111111111111,0.16250287554635381,0.1111111111111111,0.04497816161621442
238,0.09090909090909091,0.15038218913817,0.09090909090909091,0.2107880755608028
239,0.24,0.15154761904761901,0.28,0.16092061164641808
240,0.09090909090909091,0.22396038305129212,0.10743801652892561,0.06451994246341415
241,0.75,0.1736111111111111,1.0,0.35185185185185186
242,0.125,0.3055555555555556,0.4375,0.026959162169990992
243,0.3333333333333333,0.13118022328548642,0.3333333333333333,0.38782051282051283
244,0.1234567901234568,0.12142517975851308,0.1604938271604938,0.14655992155992156
245,0.15000000000000002,0.10022449772449774,0.22000000000000003,0.10805921915436864
246,0.1,0.21748376623376622,0.1,0.04505026263647847
247,0.09090909090909091,0.31511221760233615,0.2231404958677686,0.029408937790926907
248,0.25,0.2972222222222222,0.25,0.26639280530789966
249,0.3333333333333333,0.3862745098039216,0.3333333333333333,0.07161285566858322
250,0.25,0.23333333333333334,0.25,0.03421266233766233
